,ax,bx,cx,dx,v,p,t
0,2.499914582439805,0.034167024078070825,0.9999934934265174,1.0000065065734827,0.8683664315338107,1.0000713693136203,0.005
1,2.499829794021579,0.06808239136850555,0.9999814144714926,1.0000185855285075,0.868309327339149,1.0001371388134412,0.01
2,2.4997456332688945,0.10174669244222471,0.9999660955039177,1.0000339044960824,0.8668868816667986,1.0017782303733074,0.015
3,2.4993388381830175,0.10215348752810174,0.9999134359365952,1.000086564063405,0.8666087524839138,1.0020997408125303,0.02
4,2.4989323954951828,0.10255993021593635,0.9998567084926213,1.000143291507379,0.8663340948742666,1.0024174407865565,0.025
5,2.4985263022087896,0.10296602350232965,0.9997962390100058,1.0002037609899945,0.8660626505793747,1.0027316218625093,0.030000000000000002
6,2.4981205555527963,0.1033717701583231,0.9997322923254515,1.000267707674549,0.8657942094268056,1.00304252072203,0.035
7,2.4977151529411135,0.1037771727700061,0.9996650892408381,1.0003349107591624,0.8655285959732334,1.0033503344548729,0.04
8,2.49731009194279,0.10418223376832962,0.9995948175324707,1.0004051824675297,0.8652656608346341,1.003655230478366,0.045
9,2.496905370259363,0.10458695545175666,0.9995216394514007,1.0004783605485998,0.8650052747779329,1.0039573532923787,0.049999999999999996
10,2.4965009857071743,0.10499134000394571,0.9994456970346057,1.0005543029653947,0.8647473245358478,1.0042568292606493,0.05499999999999999
11,2.496096936203253,0.10539538950786713,0.9993671159862152,1.0006328840137853,0.8644917097475853,1.004553770103318,0.05999999999999999
12,2.4956932197538375,0.10579910595728238,0.9992860085888865,1.0007139914111138,0.8642383406633027,1.0048482755156194,0.06499999999999999
13,2.4952898344448937,0.10620249126622608,0.999202475936417,1.0007975240635834,0.8639871363832243,1.0051404351751898,0.06999999999999999
14,2.4948867784341755,0.10660554727694416,0.9991166096784924,1.000883390321508,0.8637380234811242,1.0054303303100776,0.075
15,2.4944840499445022,0.10700827576661728,0.9990284934066702,1.0009715065933302,0.8634909349105294,1.0057180349437975,0.08
16,2.494081647258006,0.10741067845311368,0.9989382037712354,1.001061796228765,0.8632458091230519,1.0060036168981963,0.085
17,2.4936795687111637,0.10781275699995581,0.9988458113926199,1.0011541886073805,0.863002589348681,1.0062871386115007,0.09000000000000001
18,2.4932778126904767,0.10821451302064292,0.9987513816135655,1.0012486183864349,0.8627612230016587,1.006568657813137,0.09500000000000001
19,2.4928763776286798,0.1086159480824399,0.9986549751261226,1.0013450248738778,0.8625216611850755,1.0068482280860158,0.10000000000000002
20,2.4924752620014,0.10901706370971985,0.9985566484990555,1.0014433515009449,0.8622838582740332,1.0071258993393035,0.10500000000000002
21,2.4920744643241894,0.10941786138693013,0.9984564546251185,1.001543545374882,0.8620477715620375,1.0074017182091903,0.11000000000000003
22,2.491673983149881,0.10981834256123843,0.9983544431032076,1.0016455568967928,0.8618133609587858,1.0076757284011646,0.11500000000000003
23,2.4912738170662148,0.11021850864490472,0.998250660567096,1.0017493394329045,0.8615805887301251,1.0079479709843138,0.12000000000000004
24,2.4908739646937024,0.11061836101741705,0.9981451509699855,1.001854849030015,0.8613494192728939,1.0082184846459663,0.12500000000000003
25,2.490474424683697,0.11101790102742257,0.998037955832229,1.0019620441677715,0.8611198189188514,1.0084873059132757,0.13000000000000003
26,2.4900751957166394,0.11141712999447993,0.9979291144581356,1.0020708855418647,0.8608917557630272,1.0087544693470702,0.13500000000000004
27,2.489676276500464,0.11181604921065544,0.9978186641266482,1.002181335873352,0.8606651995127154,1.0090200077122675,0.14000000000000004
28,2.4892776657691384,0.11221465994198121,0.9977066402598088,1.0022933597401915,0.8604401213540193,1.0092839521283716,0.14500000000000005
29,2.488879362281328,0.11261296342979174,0.997593076572231,1.0024069234277695,0.8602164938334116,1.0095463322029476,0.15000000000000005
30,2.4884813648191675,0.11301096089195223,0.9974780052042471,1.0025219947957533,0.8599942907521976,1.0098071761504668,0.15500000000000005
31,2.488083672187129,0.11340865352399045,0.9973614568409545,1.0026385431590459,0.8597734870721315,1.0100665108985183,0.16000000000000006
32,2.487686283210977,0.11380604250014245,0.9972434608190219,1.0027565391809783,0.8595540588307113,1.0103243621830615,0.16500000000000006
33,2.4872891967367985,0.11420312897432083,0.9971240452228318,1.0028759547771684,0.8593359830649113,1.01058075463413,0.17000000000000007
34,2.486892411630106,0.11459991408101325,0.9970032369712858,1.0029967630287144,0.8591192377423008,1.01083571185318,0.17500000000000007
35,2.4864959267750013,0.11499639893611804,0.9968810618964108,1.0031189381035894,0.8589038016986529,1.0110892564831016,0.18000000000000008
36,2.4860997410733967,0.11539258463772278,0.9967575448147334,1.0032424551852668,0.8586896545812773,1.0113414102717608,0.18500000000000008
37,2.4857038534442886,0.11578847226683105,0.9966327095922575,1.0033672904077426,0.8584767767974185,1.0115921941298245,0.19000000000000009
38,2.4853082628230774,0.11618406288804209,0.996506579203762,1.003493420796238,0.8582651494671496,1.0118416281835054,0.1950000000000001
39,2.484912968160932,0.11657935755018742,0.9963791757870439,1.003620824212956,0.858054754380272,1.0120897318227908,0.2000000000000001
40,2.4845179684241914,0.1169743572869281,0.9962505206926457,1.0037494793073543,0.8578455739567923,1.0123365237456374,0.2050000000000001
41,2.4841232625938034,0.1173690631173159,0.9961206345295395,1.0038793654704605,0.8576375912106011,1.0125820219985544,0.2100000000000001
42,2.483728849664798,0.11776347604632138,0.9959895372071813,1.0040104627928188,0.8574307897160305,1.0128262440139477,0.2150000000000001
43,2.483334728645788,0.1181575970653314,0.9958572479742985,1.0041427520257016,0.8572251535770008,1.0130692066445448,0.2200000000000001
